nHighMutBurden	nHypermutated	nTotal	cancerType	fracHypermutated	fracHypermutatedOrdering	label
0	134	1314	Bladder_Cancer	0.1019786910197869	0.1019786910197869	Bladder_Cancer (n = 134)
0	87	5428	Breast_Cancer	0.016028002947678702	0.016028002947678702	Breast_Cancer (n = 87)
0	353	3737	Colorectal_Cancer	0.09446079743109446	0.09446079743109446	Colorectal_Cancer (n = 353)
0	335	1603	Endometrial_Cancer	0.20898315658140987	0.20898315658140987	Endometrial_Cancer (n = 335)
0	55	1111	Esophagogastric_Cancer	0.04950495049504951	0.04950495049504951	Esophagogastric_Cancer (n = 55)
0	70	1767	Glioma	0.039615166949632144	0.039615166949632144	Glioma (n = 70)
0	14	491	Head_and_Neck_Cancer	0.028513238289205704	0.028513238289205704	Head_and_Neck_Cancer (n = 14)
0	19	1031	Hepatobiliary_Cancer	0.01842870999030068	0.01842870999030068	Hepatobiliary_Cancer (n = 19)
0	348	1247	Melanoma	0.27906976744186046	0.27906976744186046	Melanoma (n = 348)
0	358	5870	Non-Small_Cell_Lung_Cancer	0.060988074957410564	0.060988074957410564	Non-Small_Cell_Lung_Cancer (n = 358)
0	15	1396	Ovarian_Cancer	0.010744985673352435	0.010744985673352435	Ovarian_Cancer (n = 15)
0	14	2104	Pancreatic_Cancer	0.006653992395437262	0.006653992395437262	Pancreatic_Cancer (n = 14)
0	68	2246	Prostate_Cancer	0.030276046304541407	0.030276046304541407	Prostate_Cancer (n = 68)
0	22	127	Small_Bowel_Cancer	0.1732283464566929	0.1732283464566929	Small_Bowel_Cancer (n = 22)
0	10	338	Small_Cell_Lung_Cancer	0.029585798816568046	0.029585798816568046	Small_Cell_Lung_Cancer (n = 10)
0	19	1185	Soft_Tissue_Sarcoma	0.016033755274261603	0.016033755274261603	Soft_Tissue_Sarcoma (n = 19)
0	35	4618	other	0.007579038544824599	-1.0	other (n = 35)
